,condition,splMass,solventVol,1Fuco-like1-470,2Fuco-470,3Fuco-like2-470,4Fuco-like3-470,5Diadinoxanthin-470,6Diatoxanthin-470,7Lutein-470,8ZEAxanthin-470,9ZEA-like1-470,10Cantaxanthin-470,11Chlorophyl-b-470,12BetaCar-like1-470,13BetaCar-like2-470,14BetaCar-470,15BetaCar-like3-470,16BetaCar-like4-470,1PhEOpd-a1-665,2PhEOpd-a2-665,3PhEOpd-a3-665,4PhEOpd-a4-665,5Chla-allo-665,6Chla-665,7Chla-epi-665,8PhEOpt-a1-665,9PhEOpt-a2-665
SC_U04_EA,1-EA,10.5,3.6,6.0645558,0.4841166,0.9174114,0.2677311,0.0833397,0.0859637,0.182908924,0.455820651,0.108874359,0.114680992,0.011269155,0.403068258,0.235490645,2.929080273,0.555652084,0.227552758,0.882829203,0.555488038,0.163670583,6.948560184,0.012356328,0.030317587,0.003312005,0.828272342,100.1663965
SC_U05_IM,4-IM,13.3,3.6,0.0874973,0.6255792,0.3730422,0.1514174,0.0014472,0.1212185,25.36337076,15.4819339,3.129774917,0.245330223,0.445871527,0.092608681,0.555652084,2.412235636,0.694124112,0.218732884,21.38628945,6.21452242,5.792946678,76.99460978,0.294641092,0.467884449,0.062800717,33.39871826,60.07702321
SC_U05_EO,2-EO,8,1.8,0.2818774,0.5794729,0.2399626,0.2698269,0.618311,0.6070586,0.06967959,0.315009813,0.081292855,0.056614667,0.005577663,0.036161485,0.171105562,0.396012359,0.09613663,0.066149058,2.018603851,1.081217787,0.436454887,1.453196384,0.019999417,0.095411231,0.015540948,1.279606372,3.789221971
SC_U05_PO,3-PO,3.8,1.8,0.1325557,0.122601,0.0702074,0.0901169,0.0414203,0.0463625,0.034839795,0.021774872,0.702602532,0.119035966,0.001821278,0.002645962,0.008378881,0.038807447,0.00564472,0.004057142,0.228146873,0.163670583,0.045133403,0.114073436,0.00738832,0.034903441,0.003312005,0.06447629,0.575326896
SC_U05_EA,1-EA,12.6,3.6,6.087609,0.9561827,1.0499672,0.2614439,0.0823417,0.0864467,0.701150874,0.775185439,0.149520787,0.079841197,0.003642555,0.040571422,0.203739098,2.019751227,0.482447127,0.209031022,0.972104066,0.639803186,0.183509441,11.04032475,0.010190786,0.02114588,0.002292927,1.70614183,81.23516578
SC_U06_IM,4-IM,13.2,3.6,0.155085,0.4207204,0.3955715,0.122601,0.0104798,0.2487153,37.41213319,23.53573318,5.703564772,0.319364787,0.401591715,0.132298115,0.754099257,4.24059559,1.284173706,0.451577567,34.96102837,11.68508765,9.428417495,109.3964254,0.203306175,0.289673084,0.039871449,21.27221601,96.83842798
SC_U06_EO,2-EO,9.3,1.8,0.1645158,0.3609917,0.4516326,0.6151005,2.287601,2.5286863,0.146617471,0.933416174,0.236620274,0.211942086,0.003870215,0.091726693,0.37837261,0.683540263,0.194037236,0.141999977,0.629883757,0.292623163,0.047117289,0.114073436,0,0.002038157,0.002165542,0.11407344,1.9243693
SC_U06_PO,3-PO,12.9,1.8,1.7939559,0.2535849,0.5155527,0.5873319,0.3538196,0.3907004,0.406464275,0.326623078,0.229361984,0.526951899,0.003642555,0.017639749,0.089962718,0.272534118,0.054683221,0.029987573,1.304404945,0.808433483,0.38685774,1.195291224,0.011337249,0.054393319,0.007643089,0.381898026,4.200878284
SC_U06_EA,1-EA,11.8,1.8,15.7536988,0.244154,3.3620954,0.9147917,0.2370442,0.2530618,1.027773952,1.550370877,0.351301266,0.569049985,0.009789367,0.050273284,0.144645939,1.376782387,0.231962696,0.157875751,1.433357526,0.813393198,0.074395719,2.9510302,0.001656003,0.003057236,0.001133725,53.82778278,0.550528323
SC_U07_IM,4-IM,8,1.8,0.2960237,0.4044784,0.5637548,0.1540371,0.0608829,0.1632345,36.28129151,22.48328104,4.099482545,0.436949096,0.708818483,0.13053414,0.651788715,3.970707435,1.070732747,0.283117967,30.15010518,10.32116613,12.61255428,102.6264149,0.211840958,0.493361413,0.076176123,27.35778585,74.45523589
SC_U07_PO,3-PO,10.9,1.8,1.0976453,0.2053828,0.5333665,0.7219834,0.3882534,0.402291,0.593728173,0.333881369,0.248233539,0.220652035,0.002276597,0.021167698,0.088198744,0.210794997,0.042335397,0.014111799,0.97706378,0.575326896,0.153751153,0.600125469,0.007260935,0.046877614,0.00713355,0.203348299,2.841916478
SC_U07_EA,1-EA,11.3,1.8,12.8123238,0.5978106,1.800767,0.4594916,0.1866411,0.100935,0.798411969,1.267297543,0.270008411,0.098712752,0.016732988,0.044099372,0.20991301,3.981291284,0.89080731,0.258422319,1.949167846,0.996902639,0.416616028,12.00250938,0.017196951,0.060889945,0.006496626,0.957224922,179.2143281
SC_U08_IM,4-IM,9.6,7.2,0.0466303,0.0743989,0.0429627,0.0235771,0.0049904,0.0313913,7.474587685,4.633692734,0.805670259,0.076937881,0.071712806,0.102310543,0.150819851,0.92167687,0.20285711,0.100546568,7.841308816,2.038442709,1.205210653,15.86116736,0.056558861,0.07846905,0.012228943,4.567897166,24.23812535
